zipcode,avg_grocery_stores,avg_police_stations,avg_transit_stations,avg_museums,score_grocery_stores,score_police_stations,score_transit_stations,score_museums,total_score
30302,118,182,100,113,10,10,10,10,10.0
30303,39,193,100,175,1,10,10,10,7.75
30308,158,21,100,17,10,1,10,1,5.5
30312,79,161,100,105,5,10,10,10,8.75
30313,39,129,100,105,1,10,10,10,7.75
30314,118,21,100,43,10,1,10,1,5.5
30317,39,10,100,17,1,1,10,1,3.25
30332,158,43,100,78,10,1,10,5,6.5
30334,118,172,100,113,10,10,10,10,10.0
30343,79,182,100,148,5,10,10,10,8.75
30353,79,161,100,148,5,10,10,10,8.75
30357,79,10,100,122,5,1,10,10,6.5
30363,118,10,100,105,10,1,10,10,7.75
30375,118,53,100,78,10,5,10,5,7.5
30392,79,161,100,148,5,10,10,10,8.75
31119,197,21,100,26,10,1,10,1,5.5
31195,79,161,100,148,5,10,10,10,8.75
