,postal,schoolLevel,rankStars,rankStatewidePercentage,averageStandardScore,rankMovement,pupilTeacherRatio
0,30315,Alternative,0.0,0.0,0.0,0.0,8.7
1,30315,Elementary,4.0,86.68,85.19753,17.0,11.7
2,30315,Elementary,1.0,10.92,12.97986,62.0,13.0
3,30315,Elementary,1.0,23.82,23.67344,-108.0,10.6
4,30315,Elementary,1.0,14.47,16.23003,98.0,11.4
5,30315,Elementary,0.0,6.87,10.08315,9.0,13.4
6,30315,High,3.0,58.64,46.33745,-102.0,18.9
7,30315,Private,0.0,0.0,0.0,0.0,0.0
8,30315,Elementary,0.0,6.7,9.99531,30.0,13.4
9,30316,Middle,4.0,80.29,78.30117,10.0,11.8
10,30316,Private,0.0,0.0,0.0,0.0,13.4
11,30316,Elementary,3.0,63.69,59.69093,35.0,11.1
12,30316,Private,0.0,0.0,0.0,0.0,13.0
13,30316,High,2.0,32.71,29.65495,-18.0,15.2
14,30316,High,1.0,15.89,16.12123,5.0,15.2
15,30316,Alternative,0.0,0.0,0.0,0.0,0.0
16,30316,Private,0.0,0.0,0.0,0.0,8.8
17,30310,Middle,0.0,8.47,12.39993,-3.0,13.7
18,30310,Elementary,0.0,2.98,7.97284,9.0,14.8
19,30310,Elementary,0.0,5.21,9.18377,-4.0,14.0
20,30310,Private,0.0,0.0,0.0,0.0,2.9
21,30310,Middle,4.0,69.8,64.84929,70.0,18.6
22,30310,Elementary,3.0,55.0,51.16533,179.0,15.4
23,30310,Elementary,0.0,3.89,8.52683,10.0,13.5
24,30310,Middle,1.0,10.5,14.0173,-9.0,16.7
25,30312,Elementary,1.0,10.67,12.60327,-25.0,12.6
26,30312,Middle,1.0,13.44,16.87769,-10.0,15.4
27,30312,Elementary,1.0,28.78,29.04708,86.0,13.5
28,30312,Private,0.0,0.0,0.0,0.0,3.8
29,30312,Elementary,2.0,39.12,37.89814,266.0,13.1
30,30312,Elementary,4.0,75.93,73.45494,177.0,12.0
31,30317,Alternative,0.0,0.0,0.0,0.0,13.2
32,30317,Elementary,5.0,90.98,89.90746,31.0,12.9
33,30317,High,0.0,0.0,4.34875,-28.0,5.6
34,30317,Elementary,3.0,51.28,47.91945,62.0,13.5
35,30317,Elementary,1.0,11.08,12.99834,-169.0,11.1
36,30317,Elementary,0.0,0.0,0.0,0.0,11.3
37,30303,High,0.0,0.0,0.0,0.0,0.0
38,30303,High,0.0,8.41,10.90718,-11.0,23.3
39,30314,High,1.0,10.28,12.09441,-6.0,15.6
40,30314,Private,0.0,0.0,0.0,0.0,6.7
41,30314,Elementary,0.0,4.8,8.90298,6.0,12.0
42,30314,Elementary,3.0,64.19,60.07229,176.0,6.4
43,30314,High,2.0,43.22,36.00596,23.0,14.1
44,30314,Elementary,0.0,0.0,0.0,0.0,11.2
45,30314,Middle,3.0,52.49,49.32823,59.0,14.1
46,30314,Elementary,1.0,12.82,14.63941,-66.0,14.7
47,31131,Private,0.0,0.0,0.0,0.0,6.0
48,30313,Elementary,2.0,37.14,36.51983,-40.0,13.3
49,30308,Private,0.0,0.0,0.0,0.0,19.1
50,30307,High,3.0,67.06,53.4152,17.0,15.0
51,30307,Elementary,3.0,65.51,61.22256,-157.0,14.5
52,30307,Private,0.0,0.0,0.0,0.0,3.6
53,30307,Elementary,5.0,98.92,98.46617,15.0,14.6
54,30307,Private,0.0,0.0,0.0,0.0,7.2
55,30306,Alternative,0.0,0.0,0.0,0.0,6.6
56,30306,Middle,5.0,93.74,92.90166,14.0,14.4
57,30306,Private,0.0,0.0,0.0,0.0,9.0
58,30306,Elementary,5.0,97.85,97.51331,16.0,15.6
59,30306,Elementary,5.0,97.68,97.4291,2.0,14.6
60,30306,Alternative,0.0,0.0,0.0,0.0,8.1
61,30318,Elementary,1.0,10.34,12.26818,4.0,13.2
62,30318,Private,0.0,0.0,0.0,0.0,0.5
63,30318,Elementary,3.0,50.87,47.79888,72.0,13.2
64,30318,Elementary,0.0,6.29,9.89143,66.0,14.7
65,30318,Alternative,0.0,0.0,0.0,0.0,13.2
66,30318,Private,0.0,0.0,0.0,0.0,7.3
67,30318,High,0.0,3.04,6.17081,-19.0,14.1
68,30318,Private,0.0,0.0,0.0,0.0,9.0
69,30318,Elementary,0.0,6.12,9.76684,11.0,12.5
70,30318,Alternative,0.0,0.0,0.0,0.0,11.4
71,30309,High,4.0,86.68,74.58995,3.0,14.9
72,30309,Private,0.0,0.0,0.0,0.0,5.9
